FechaPrediccion(UTC)	Hora	Vel78m(m/s)	Dir_78m
2015/01/18 13:00 4.868249 217.47897
2015/01/18 14:00 4.9610615 212.26628
2015/01/18 15:00 5.5999494 208.98033
2015/01/18 16:00 6.1532493 211.14499
2015/01/18 17:00 6.251466 211.41043
2015/01/18 18:00 6.234911 212.17494
2015/01/18 19:00 5.946062 213.32413
2015/01/18 20:00 5.583279 213.77034
2015/01/18 21:00 5.0345817 212.54501
2015/01/18 22:00 4.5247974 207.83786
2015/01/18 23:00 4.590964 204.1133
2015/01/19 00:00 4.0338287 173.06943
2015/01/19 01:00 4.8766713 160.96346
2015/01/19 02:00 5.656172 167.62427
2015/01/19 03:00 5.5713325 187.22455
2015/01/19 04:00 6.0055423 212.10089
2015/01/19 05:00 6.004629 231.49678
2015/01/19 06:00 5.5288916 242.81674
2015/01/19 07:00 5.7847767 247.45273
2015/01/19 08:00 6.105628 249.2614
2015/01/19 09:00 5.26306 248.03223
2015/01/19 10:00 4.3665304 234.55096
2015/01/19 11:00 4.350283 225.29794
2015/01/19 12:00 4.3321023 221.30243
2015/01/19 13:00 4.1762223 219.09308
2015/01/19 14:00 4.398199 209.33531
2015/01/19 15:00 4.9369087 203.60542
2015/01/19 16:00 5.3776865 204.1172
2015/01/19 17:00 5.6666546 207.65437
2015/01/19 18:00 5.723701 213.39693
2015/01/19 19:00 5.6430373 221.41203
2015/01/19 20:00 5.5867004 228.31
2015/01/19 21:00 5.6339955 234.51273
2015/01/19 22:00 5.6084538 240.6315
2015/01/19 23:00 5.397092 247.18303
2015/01/20 00:00 6.7381177 250.4301
2015/01/20 01:00 7.0202584 248.3529
2015/01/20 02:00 7.325089 245.39418
2015/01/20 03:00 7.625264 246.52467
2015/01/20 04:00 7.6879616 250.97559
2015/01/20 05:00 7.365282 254.37714
2015/01/20 06:00 6.727273 256.29883
2015/01/20 07:00 5.974118 256.0424
2015/01/20 08:00 5.125499 255.73308
2015/01/20 09:00 4.071493 253.56702
2015/01/20 10:00 2.7514577 239.30862
2015/01/20 11:00 1.9029899 216.3476
2015/01/20 12:00 1.2686868 198.03394
2015/01/20 13:00 1.2275541 147.7658
2015/01/20 14:00 2.1512437 122.71794
2015/01/20 15:00 3.4913657 117.048546
2015/01/20 16:00 4.553909 118.216606
2015/01/20 17:00 5.3131747 124.78273
2015/01/20 18:00 5.6248946 133.90295
2015/01/20 19:00 5.2997127 143.00383
2015/01/20 20:00 4.8919487 152.48143
2015/01/20 21:00 4.511532 162.27992
2015/01/20 22:00 4.1302223 173.92891
2015/01/20 23:00 3.6640334 187.75426
2015/01/21 00:00 5.941635 97.09299
2015/01/21 01:00 4.910122 99.50994
2015/01/21 02:00 3.6836596 103.63205
2015/01/21 03:00 2.5164301 108.51146
2015/01/21 04:00 1.7211692 117.43387
2015/01/21 05:00 1.2673718 129.6572
2015/01/21 06:00 1.0136566 143.72713
2015/01/21 07:00 0.8443063 157.01501
2015/01/21 08:00 0.729951 166.07256
2015/01/21 09:00 0.67098767 158.80765
2015/01/21 10:00 0.7035148 128.91188
2015/01/21 11:00 0.7628729 109.620476
2015/01/21 12:00 0.98038924 99.80942
2015/01/21 13:00 1.5176928 105.46468
2015/01/21 14:00 2.2386248 102.06723
2015/01/21 15:00 3.1614962 99.98492
2015/01/21 16:00 3.9878578 99.639595
2015/01/21 17:00 4.8200607 103.20444
2015/01/21 18:00 5.636162 108.478546
2015/01/21 19:00 6.169738 112.82927
2015/01/21 20:00 6.4033694 115.90162
2015/01/21 21:00 6.521021 118.20986
2015/01/21 22:00 6.659258 121.213165
2015/01/21 23:00 6.718213 123.29469
2015/01/22 00:00 9.015888 145.9976
2015/01/22 01:00 8.932727 146.44994
2015/01/22 02:00 9.001854 148.43074
2015/01/22 03:00 8.982632 151.53566
2015/01/22 04:00 8.835504 152.87411
2015/01/22 05:00 8.905356 153.04521
2015/01/22 06:00 8.98683 152.81847
2015/01/22 07:00 8.901556 152.25621
2015/01/22 08:00 8.506042 150.56474
2015/01/22 09:00 7.3538175 146.17421
2015/01/22 10:00 5.928888 144.36926
2015/01/22 11:00 5.198361 147.61816
2015/01/22 12:00 4.9968414 146.91399
2015/01/22 13:00 5.124583 143.10452
2015/01/22 14:00 5.4889474 132.40654
2015/01/22 15:00 6.657719 125.45593
2015/01/22 16:00 8.093913 129.08339
2015/01/22 17:00 9.283727 135.3831
2015/01/22 18:00 10.07605 139.57257
2015/01/22 19:00 10.461937 140.71974
2015/01/22 20:00 10.695072 140.03583
2015/01/22 21:00 10.942617 139.09648
2015/01/22 22:00 11.084752 138.49991
2015/01/22 23:00 11.134357 136.95834
2015/01/23 00:00 11.356436 123.142876
2015/01/23 01:00 11.543466 121.6023
2015/01/23 02:00 11.59222 119.383064
2015/01/23 03:00 11.683995 117.18066
2015/01/23 04:00 11.659343 112.77298
2015/01/23 05:00 12.097696 104.37714
2015/01/23 06:00 12.603561 103.90547
2015/01/23 07:00 12.137169 102.119865
2015/01/23 08:00 10.734372 99.24001
2015/01/23 09:00 9.553978 97.139015
2015/01/23 10:00 8.917205 95.66793
2015/01/23 11:00 8.680068 95.21598
2015/01/23 12:00 8.884926 92.79158
2015/01/23 13:00 9.428027 91.05281
2015/01/23 14:00 10.227537 90.282524
2015/01/23 15:00 11.202936 90.32106
2015/01/23 16:00 11.889863 91.15697
2015/01/23 17:00 12.129723 92.82432
2015/01/23 18:00 12.118328 94.45521
2015/01/23 19:00 11.884539 94.547646
2015/01/23 20:00 11.601049 93.152954
2015/01/23 21:00 11.468336 90.985596
2015/01/23 22:00 11.447011 88.142586
2015/01/23 23:00 11.519523 85.22059
2015/01/24 00:00 12.993886 82.741486
2015/01/24 01:00 13.160204 80.7521
2015/01/24 02:00 13.306089 79.66474
2015/01/24 03:00 13.333213 78.17122
2015/01/24 04:00 13.433592 76.81535
2015/01/24 05:00 13.463592 75.92976
2015/01/24 06:00 13.280598 74.987076
2015/01/24 07:00 12.618153 74.582825
2015/01/24 08:00 11.64738 74.280525
2015/01/24 09:00 10.923932 74.19877
2015/01/24 10:00 10.465898 73.7497
2015/01/24 11:00 9.623593 72.566795
2015/01/24 12:00 9.054103 69.804
2015/01/24 13:00 8.680384 67.14228
2015/01/24 14:00 8.292835 66.26127
2015/01/24 15:00 8.136713 64.96494
2015/01/24 16:00 7.864881 63.061142
2015/01/24 17:00 7.214003 65.15318
2015/01/24 18:00 6.970977 68.73664
2015/01/24 19:00 6.772512 70.6228
2015/01/24 20:00 6.316995 73.84722
2015/01/24 21:00 5.702926 82.05808
2015/01/24 22:00 5.192672 93.36494
2015/01/24 23:00 4.404932 101.66667
2015/01/25 00:00 3.7449467 72.13117
2015/01/25 01:00 3.8603463 73.83105
2015/01/25 02:00 3.6826782 68.762856
2015/01/25 03:00 3.5232794 60.910015
2015/01/25 04:00 3.5406954 53.984024
2015/01/25 05:00 3.8065066 45.848717
2015/01/25 06:00 4.301051 41.581047
2015/01/25 07:00 4.361122 39.336033
2015/01/25 08:00 4.0084577 41.59773
2015/01/25 09:00 3.559126 46.02816
2015/01/25 10:00 3.06391 45.017067
2015/01/25 11:00 2.3113198 46.401863
2015/01/25 12:00 1.9719102 60.354465
2015/01/25 13:00 2.0118182 72.30426
2015/01/25 14:00 2.565176 75.64498
2015/01/25 15:00 3.5676792 72.13077
2015/01/25 16:00 4.836181 73.04774
2015/01/25 17:00 5.980436 79.69369
2015/01/25 18:00 6.941393 88.42412
2015/01/25 19:00 7.487989 95.57312
2015/01/25 20:00 7.6044264 106.32654
2015/01/25 21:00 7.3718348 115.2801
2015/01/25 22:00 6.908937 120.87384
